,Player,Pos,Age,G,GS,MP,ORtg,DRtg,OBPM,DBPM,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,Rating Model Salary,Four Factors Salary,Average Predicted Salary
184,Rodney Hood,Forward,29.0,52.0,0.0,13.6,108.0,115.0,-3.0,-0.3,46.5,10.0,5.8,6.2,2239.544,2442.441,4047.1248632866946,3987.0765468000404,4017.1007050433673
185,Al Horford,Center,35.0,69.0,69.0,29.1,124.0,104.0,1.4,2.9,54.6,14.634146341463415,14.3,9.6,27000.0,29446.134,16312.416285683988,20033.55039973722,18172.983342710606
186,Talen Horton-Tucker,Guard,21.0,60.0,19.0,25.2,102.0,114.0,-3.2,-0.2,46.2,18.88888888888889,6.9,12.1,9500.0,10360.677,2255.165845709058,6958.188623755113,4606.677234732086
187,Danuel House,Forward,28.0,42.0,7.0,17.3,108.0,113.0,-1.3,0.2,51.5,21.27659574468085,8.4,12.9,4997.424,5450.176,7262.144038559877,5490.010489095367,6376.077263827622
188,Dwight Howard,Center,36.0,60.0,27.0,16.2,128.0,109.0,-0.2,0.0,63.0,43.24324324324324,19.7,14.2,2641.691,2881.021,6537.45752558591,3640.664855500475,5089.061190543192
189,Markus Howard,Guard,22.0,31.0,0.0,5.7,108.0,113.0,0.8,-2.0,52.5,18.181818181818183,3.8,5.9,462.629,504.542,2555.4340647099084,664.0425042925133,1609.7382845012107
190,Kevin Huerter,Forward,23.0,74.0,60.0,29.6,112.0,117.0,-0.5,-0.7,55.900000000000006,5.825242718446601,6.4,10.4,4253.357,4638.7,4521.6830058673,4285.3850201888035,4403.534013028052
191,Elijah Hughes,Forward,23.0,36.0,4.0,12.1,87.0,116.0,-5.2,-1.7,41.3,5.0,7.3,10.3,1517.981,1655.506,1670.9056575955033,1825.739339281218,1748.3224984383605
192,De'Andre Hunter,Forward,24.0,53.0,52.0,29.8,106.0,117.0,-2.4,-1.5,50.6,22.22222222222222,6.1,9.6,7775.4,8479.832,3936.3376425696524,6582.354727848132,5259.346185208892
193,Bones Hyland,Guard,21.0,69.0,4.0,19.0,109.0,112.0,0.3,-0.7,51.8,19.27710843373493,8.0,12.1,2096.88,2286.852,2617.383989550705,2659.395995369256,2638.3899924599805
194,Serge Ibaka,Center,32.0,54.0,12.0,16.2,112.0,110.0,-1.3,-0.2,56.3,10.909090909090908,15.1,12.0,9720.9,10601.59,7677.851646988545,5529.919554623534,6603.885600806039
195,Andre Iguodala,Forward,38.0,31.0,0.0,19.5,114.0,106.0,-0.9,3.7,45.0,12.820512820512825,9.1,17.7,2641.691,2881.021,2975.5492348187227,2818.6640184526614,2897.106626635692
196,Joe Ingles,Forward,34.0,45.0,15.0,24.9,117.0,114.0,-0.7,0.5,54.0,6.349206349206351,6.4,13.5,13036.364,14217.427,7992.666869866826,11343.071694550332,9667.86928220858
197,Brandon Ingram,Forward,24.0,55.0,55.0,34.0,111.0,115.0,2.6,-0.6,49.8,26.81564245810056,9.5,11.8,29467.8,32137.511,17640.80687070594,21035.094690080532,19337.950780393236
