,Player,2020/21,2020/21(*)
442,Jae'Sean Tate,"$1,445,697","$1,661,679"
443,DaQuan Jeffries,"$1,445,697","$1,661,679"
444,Kelan Martin,"$1,445,697","$1,661,679"
445,Zylan Cheatham,"$1,445,697","$1,661,679"
446,Paul Watson,"$1,445,697","$1,661,679"
447,Vernon Carey,"$1,350,000","$1,551,685"
448,Xavier Tillman,"$1,300,000","$1,494,215"
449,Tyrell Terry,"$1,289,846","$1,482,544"
450,Oshae Brissett,"$1,255,493","$1,443,058"
451,Moses Brown,"$1,250,000","$1,436,745"
452,Sindarius Thornwell,"$1,235,889","$1,420,525"
453,Ersan Ilyasova,"$1,194,542","$1,373,002"
454,Glenn Robinson III,"$1,165,322","$1,339,417"
455,Zhaire Smith,"$1,068,200","$1,227,785"
456,Khyri Thomas,"$1,061,283","$1,219,834"
457,Guerschon Yabusele,"$1,039,080","$1,194,315"
458,Norvel Pelle,"$1,014,905","$1,166,527"
459,Nick Richards,"$1,000,000","$1,149,396"
460,Lamar Stevens,"$1,000,000","$1,149,396"
461,Jahmi'us Ramsey,"$1,000,000","$1,149,396"
462,Kyle Singler,"$999,200","$1,148,477"
463,Juan Toscano-Anderson,"$943,963","$1,084,987"
464,Shaquille Harrison,"$915,048","$1,051,752"
465,Chimezie Metu,"$910,895","$1,046,979"
466,Deividas Sirvydis,"$898,310","$1,032,514"
467,KJ Martin,"$898,310","$1,032,514"
468,Daniel Oturu,"$898,310","$1,032,514"
469,Jordan Nwora,"$898,310","$1,032,514"
470,Sam Merrill,"$898,310","$1,032,514"
471,Isaiah Joe,"$898,310","$1,032,514"
472,CJ Elleby,"$898,310","$1,032,514"
473,Tre Jones,"$898,310","$1,032,514"
474,Elijah Hughes,"$898,310","$1,032,514"
475,Anthony Gill,"$898,310","$1,032,514"
476,Iman Shumpert,"$803,044","$923,016"
477,Theo Pinson,"$802,182","$922,025"
478,Yuta Watanabe,"$737,996","$848,250"
479,Tremont Waters,"$712,278","$818,689"
480,Frank Jackson,"$699,115","$803,560"
481,Rayjon Tucker,"$693,755","$797,398"
482,Tyler Cook,"$693,141","$796,693"
483,Garrison Mathews,"$688,052","$790,844"
484,Cole Aldrich,"$685,340","$787,727"
485,Shaun Livingston,"$666,666","$766,263"
486,Gabe Vincent,"$660,750","$759,463"
487,Tacko Fall,"$653,924","$751,618"
488,Max Strus,"$647,098","$743,772"
489,Alize Johnson,"$621,587","$714,449"
490,Anthony Tolliver,"$614,838","$706,692"
491,Paul Reed,"$609,128","$700,129"
492,Tim Frazier,"$597,463","$686,721"
493,Jordan Bell,"$592,368","$680,865"
494,Amir Coffey,"$578,842","$665,319"
495,Naji Marshall,"$538,391","$618,824"
496,Kyle Guy,"$537,888","$618,246"
497,Markus Howard,"$535,294","$615,265"
498,Skylar Mays,"$532,218","$611,729"
499,Mamadi Diakite,"$529,341","$608,422"
500,Nathan Knight,"$522,989","$601,121"
501,Jared Harper,"$520,487","$598,245"
502,Saben Lee,"$516,836","$594,049"
503,Jarrell Brantley,"$510,586","$586,865"
504,Jordan McLaughlin,"$503,760","$579,020"
505,Rondae Hollis-Jefferson,"$502,957","$578,097"
506,Reggie Perry,"$489,148","$562,225"
507,Cassius Stanley,"$470,690","$541,009"
508,Trent Forrest,"$470,690","$541,009"
509,Dakari Johnson,"$459,414","$528,048"
510,Chris Chiozza,"$449,115","$516,211"
511,Grant Riller,"$449,115","$516,211"
