,Player,Pos,Age,G,GS,MP,OBPM,DBPM,ORtg,DRtg,Salary,Salary Adjusted
118,Drew Eubanks,Center,23.0,54.0,3.0,14.0,-1.0,1.0,118.0,109.0,1620564,1862670
119,Derrick Favors,Center,29.0,68.0,0.0,15.3,0.3,2.4,138.0,103.0,9258000,10641113
120,Bruno Fernando,Center,22.0,33.0,0.0,6.8,-6.1,-0.4,86.0,111.0,1517981,1744762
121,Dorian Finney-Smith,Forward,27.0,60.0,60.0,32.0,0.2,0.0,124.0,114.0,4000000,4597586
122,Malachi Flynn,Guard,22.0,47.0,14.0,19.7,-2.5,-0.2,103.0,114.0,1950600,2242013
123,Bryn Forbes,Guard,27.0,70.0,10.0,19.3,0.4,-1.7,119.0,117.0,2337145,2686306
124,Trent Forrest,Guard,22.0,30.0,0.0,10.1,-2.5,1.2,113.0,110.0,470690,541009
125,Evan Fournier,Forward,28.0,42.0,36.0,30.0,1.5,-0.4,115.0,115.0,17150000,19712152
126,De'Aaron Fox,Guard,23.0,58.0,58.0,35.1,3.1,-1.3,113.0,118.0,8099627,9309683
127,Wenyen Gabriel,Forward,23.0,21.0,0.0,11.5,-3.2,-0.1,104.0,112.0,1620564,1862670
128,Daniel Gafford,Center,22.0,54.0,11.0,14.6,0.6,1.6,131.0,107.0,1517981,1744762
129,Danilo Gallinari,Forward,32.0,51.0,4.0,24.0,1.7,-0.6,123.0,114.0,19500000,22413234
130,Langston Galloway,Guard,29.0,40.0,0.0,11.0,-0.1,-0.8,118.0,115.0,2028594,2331659
131,Darius Garland,Guard,21.0,54.0,50.0,33.1,0.0,-2.1,105.0,117.0,6720720,7724772
132,Marc Gasol,Center,36.0,52.0,42.0,19.1,-1.4,3.7,115.0,105.0,2564753,2947918
133,Rudy Gay,Forward,34.0,63.0,1.0,21.6,-0.1,0.0,103.0,111.0,14500000,16666250
134,Paul George,Forward,30.0,54.0,54.0,33.7,3.9,0.3,113.0,110.0,35450412,40746583
135,Taj Gibson,Center,35.0,45.0,3.0,20.8,-0.7,2.1,139.0,105.0,3283684,3774255
136,Harry Giles,Center,22.0,38.0,0.0,9.2,-3.2,0.2,106.0,111.0,1620564,1862670
137,Shai Gilgeous-Alexander,Guard,22.0,35.0,35.0,33.7,3.9,0.2,118.0,115.0,4141320,4760019
138,Anthony Gill,Forward,28.0,26.0,4.0,8.4,-1.6,0.3,120.0,111.0,898310,1032514
139,Freddie Gillespie,Forward,23.0,20.0,2.0,19.6,-3.1,-0.1,120.0,111.0,363015,417248
140,Rudy Gobert,Center,28.0,71.0,71.0,30.8,2.1,2.8,131.0,101.0,27525281,31637464
141,Brandon Goodwin,Guard,25.0,47.0,5.0,13.2,-2.5,-0.6,101.0,116.0,1701593,1955805
142,Aaron Gordon,Forward,25.0,50.0,50.0,27.7,0.2,-0.1,107.0,114.0,18136364,20845875
143,Eric Gordon,Guard,32.0,27.0,13.0,29.2,0.7,-1.7,108.0,119.0,16869267,19389478
144,Devonte Graham,Guard,25.0,55.0,44.0,30.2,1.8,-1.1,115.0,116.0,1663861,1912436
145,Jerami Grant,Forward,26.0,54.0,54.0,33.9,1.9,-0.8,109.0,114.0,19050000,21896005
146,Danny Green,Forward,33.0,69.0,69.0,28.0,0.4,1.5,114.0,108.0,15365853,17661459
147,Draymond Green,Forward,30.0,63.0,63.0,31.5,-1.6,3.3,110.0,106.0,22246956,25570575
148,JaMychal Green,Forward,30.0,58.0,5.0,19.3,-0.5,-1.0,116.0,112.0,7199760,8275379
149,Javonte Green,Forward,27.0,41.0,2.0,11.5,-2.2,1.7,118.0,111.0,1517981,1744762
150,Jeff Green,Forward,34.0,68.0,38.0,27.0,0.0,-0.9,122.0,116.0,2564753,2947918
151,Josh Green,Guard,20.0,39.0,5.0,11.4,-3.7,0.1,106.0,114.0,2816760,3237574
152,Blake Griffin,Forward,31.0,46.0,30.0,25.8,-0.8,0.0,110.0,114.0,33900241,38964821
153,Kyle Guy,Guard,23.0,31.0,0.0,7.6,-3.7,-2.1,99.0,119.0,537888,618246
154,Rui Hachimura,Forward,22.0,57.0,57.0,31.5,-2.2,-1.0,107.0,115.0,4692840,5393934
155,Tyrese Haliburton,Guard,20.0,58.0,20.0,30.1,1.9,-0.5,118.0,118.0,3831840,4404303
156,Josh Hall,Forward,20.0,21.0,1.0,16.0,-9.7,-2.2,73.0,117.0,449115,516211
157,RJ Hampton,Guard,19.0,51.0,1.0,17.4,-2.6,-1.2,100.0,115.0,2193480,2521178
