,Player,Pos,Age,G,GS,MP,OBPM,DBPM,ORtg,DRtg,Salary,Salary Adjusted
498,Thomas Bryant,Center,24.0,27.0,9.0,16.3,-0.4,-0.7,118.0,113.0,8666667,9451846
499,Reggie Bullock,Forward,30.0,68.0,37.0,28.0,-1.5,0.0,111.0,112.0,9536000,10399938
500,Trey Burke,Guard,29.0,42.0,0.0,10.5,-3.6,-1.4,97.0,113.0,3150000,3435382
501,Alec Burks,Guard,30.0,81.0,44.0,28.6,-0.4,1.2,117.0,110.0,9536000,10399938
502,Jared Butler,Guard,21.0,42.0,1.0,8.6,-2.3,0.7,102.0,109.0,925258,1009084
503,Jimmy Butler,Forward,32.0,57.0,57.0,33.9,4.5,1.9,124.0,108.0,36016200,39279180
504,Kentavious Caldwell-Pope,Guard,28.0,77.0,77.0,30.2,-0.9,-0.6,109.0,116.0,13038862,14220151
505,Facundo Campazzo,Guard,30.0,65.0,4.0,18.2,-2.1,1.3,109.0,111.0,3100000,3380852
506,Clint Capela,Center,27.0,74.0,73.0,27.6,2.1,-0.1,132.0,109.0,17603448,19198277
507,Jevon Carter,Guard,26.0,66.0,3.0,13.7,-1.8,-0.4,110.0,114.0,4107149,4479246
508,Wendell Carter,Forward,22.0,62.0,61.0,29.9,1.0,0.6,115.0,110.0,6920027,7546964
509,Alex Caruso,Guard,27.0,41.0,18.0,28.0,-2.2,2.3,110.0,112.0,8600000,9379139
510,Willie Cauley-Stein,Center,28.0,20.0,2.0,9.2,-4.1,1.1,103.0,109.0,4220083,4602412
511,Justin Champagnie,Forward,20.0,36.0,0.0,7.8,-1.3,-0.7,128.0,112.0,462629,504542
512,Chris Chiozza,Guard,26.0,34.0,1.0,10.9,-5.7,-0.2,88.0,110.0,462629,504542
513,Marquese Chriss,Forward,24.0,34.0,0.0,10.2,-3.8,0.0,107.0,105.0,1292900,1410033
514,Josh Christopher,Guard,20.0,74.0,2.0,18.0,-2.2,-1.3,101.0,117.0,2259240,2463921
515,Gary Clark,Forward,27.0,38.0,1.0,9.9,0.1,0.0,116.0,112.0,811213,884706
516,Brandon Clarke,Forward,25.0,64.0,1.0,19.5,3.1,1.1,138.0,108.0,2726880,2973928
517,Jordan Clarkson,Guard,29.0,79.0,1.0,27.1,0.5,-1.2,108.0,113.0,12420000,13545221
518,Nicolas Claxton,Center,22.0,47.0,19.0,20.7,0.3,0.2,130.0,111.0,1782621,1944122
519,Amir Coffey,Guard,24.0,69.0,30.0,22.7,-0.3,0.0,120.0,113.0,573576,625540
520,John Collins,Forward,24.0,54.0,53.0,30.8,1.5,0.0,122.0,114.0,23000000,25083744
521,Zach Collins,Center,24.0,28.0,4.0,17.9,-1.2,1.0,112.0,109.0,7000000,7634183
522,Mike Conley,Guard,34.0,72.0,72.0,28.6,2.4,0.7,120.0,111.0,21000000,22902549
523,Pat Connaughton,Forward,29.0,65.0,19.0,26.0,0.8,0.3,124.0,113.0,5333334,5816521
524,Tyler Cook,Forward,24.0,20.0,2.0,10.0,-3.0,-1.1,126.0,113.0,462629,504542
525,DeMarcus Cousins,Center,31.0,48.0,7.0,15.0,-1.8,0.2,105.0,106.0,2038942,2223664
526,Robert Covington,Forward,31.0,71.0,42.0,27.3,-1.6,1.7,108.0,110.0,12975471,14151017
527,Torrey Craig,Forward,31.0,78.0,16.0,20.5,-1.7,-0.1,110.0,113.0,4878049,5319988
528,Jae Crowder,Forward,31.0,67.0,67.0,28.1,-1.3,2.4,109.0,105.0,9720900,10601590
529,Jarrett Culver,Guard,22.0,37.0,0.0,9.1,-5.7,0.3,93.0,109.0,6395160,6974546
530,Cade Cunningham,Guard,20.0,64.0,64.0,32.6,-1.1,-0.5,96.0,113.0,10050120,10960636
531,Seth Curry,Guard,31.0,64.0,64.0,33.4,0.3,-0.9,115.0,115.0,8207518,8951099
532,Stephen Curry,Guard,33.0,64.0,64.0,34.5,5.4,0.4,115.0,108.0,45780966,49928610
533,Anthony Davis,Center,28.0,40.0,40.0,35.1,2.6,1.2,115.0,109.0,35361360,38565013
534,Ed Davis,Center,32.0,31.0,3.0,6.5,-4.2,2.5,126.0,106.0,2641691,2881021
535,Terence Davis,Guard,24.0,30.0,11.0,17.9,-0.6,-0.4,103.0,113.0,4000000,4362390
536,Dewayne Dedmon,Center,32.0,67.0,15.0,15.9,-2.2,1.1,117.0,105.0,5256308,5732516
537,DeMar DeRozan,Forward,32.0,76.0,76.0,36.1,3.4,-0.9,117.0,115.0,26000000,28355537
538,Hamidou Diallo,Guard,23.0,58.0,29.0,21.9,-1.2,0.7,107.0,111.0,5200000,5671107
539,Gorgui Dieng,Center,32.0,44.0,3.0,8.4,1.4,0.8,123.0,111.0,4000000,4362390
540,Spencer Dinwiddie,Guard,28.0,67.0,51.0,29.6,0.8,-0.4,114.0,115.0,19314284,21064111
541,Donte DiVincenzo,Guard,25.0,42.0,1.0,24.0,-1.8,-0.5,102.0,113.0,4675830,5099448
542,Luka Doncic,Guard,22.0,65.0,65.0,35.4,6.4,1.8,110.0,107.0,10174391,11096166
543,Luguentz Dort,Guard,22.0,51.0,51.0,32.6,-1.5,-0.7,104.0,115.0,1782621,1944122
544,Ayo Dosunmu,Guard,22.0,77.0,40.0,27.4,-1.9,-0.1,113.0,115.0,925258,1009084
545,Goran Dragic,Guard,35.0,21.0,8.0,23.7,-2.8,-0.5,102.0,114.0,19348907,21101870
546,Andre Drummond,Center,28.0,73.0,36.0,19.7,-0.1,1.4,114.0,102.0,2401537,2619110
547,Chris Duarte,Guard,24.0,55.0,39.0,28.0,-1.2,-1.1,104.0,117.0,3749400,4089086
548,David Duke,Guard,22.0,22.0,7.0,15.5,-3.0,-0.9,104.0,113.0,462629,504542
549,Kevin Durant,Forward,33.0,55.0,55.0,37.2,6.4,0.7,121.0,112.0,42018900,45825710
550,Anthony Edwards,Guard,20.0,72.0,72.0,34.3,1.6,-0.4,108.0,112.0,10245480,11173695
551,Kessler Edwards,Forward,21.0,48.0,23.0,20.6,-3.1,-0.8,100.0,113.0,463211,505176
552,CJ Elleby,Forward,21.0,58.0,28.0,20.2,-3.8,-1.5,102.0,117.0,1517981,1655506
553,Wayne Ellington,Guard,34.0,43.0,9.0,18.8,-0.7,-0.6,113.0,116.0,2641691,2881021
554,Joel Embiid,Center,27.0,68.0,68.0,33.8,7.2,2.0,119.0,105.0,31579390,34440406
555,Drew Eubanks,Center,24.0,71.0,31.0,17.5,-0.5,-0.9,120.0,113.0,2239820,2442742
556,Derrick Favors,Center,30.0,39.0,18.0,16.7,-2.3,0.3,118.0,112.0,9720900,10601590
557,Bruno Fernando,Center,23.0,30.0,0.0,5.1,-0.4,0.2,116.0,110.0,1782621,1944122
558,Dorian Finney-Smith,Forward,28.0,80.0,80.0,33.1,0.1,0.7,119.0,110.0,4000000,4362390
559,Malachi Flynn,Guard,23.0,44.0,5.0,12.2,-1.8,0.4,113.0,112.0,2048040,2233587
560,Bryn Forbes,Guard,28.0,75.0,2.0,17.1,-0.7,-2.2,109.0,117.0,4500000,4907689
561,Trent Forrest,Guard,23.0,60.0,6.0,12.8,-2.3,1.2,111.0,112.0,463211,505176
562,Evan Fournier,Guard,29.0,80.0,80.0,29.5,-0.4,-0.3,109.0,113.0,17142857,18695958
563,De'Aaron Fox,Guard,24.0,59.0,59.0,35.3,0.6,-1.2,107.0,117.0,28103500,30649609
564,Wenyen Gabriel,Forward,24.0,26.0,5.0,13.8,-3.7,-2.1,113.0,113.0,522015,569306
565,Daniel Gafford,Center,23.0,72.0,53.0,20.1,1.1,0.5,134.0,111.0,1782621,1944122
566,Danilo Gallinari,Forward,33.0,66.0,18.0,25.3,1.0,-1.2,120.0,117.0,20475000,22329985
567,Darius Garland,Guard,22.0,68.0,68.0,35.7,3.4,-0.8,112.0,112.0,7040880,7678766
568,Usman Garuba,Forward,19.0,24.0,2.0,10.0,-1.8,0.9,119.0,111.0,2353320,2566525
569,Luka Garza,Center,23.0,32.0,5.0,12.2,-0.5,-2.0,114.0,116.0,925258,1009084
570,Rudy Gay,Forward,35.0,55.0,1.0,18.9,-0.7,-0.3,110.0,110.0,5890000,6423619
571,Paul George,Forward,31.0,31.0,31.0,34.7,1.8,1.9,100.0,106.0,39344970,42909529
572,Taj Gibson,Center,36.0,52.0,4.0,18.2,-3.0,1.0,127.0,110.0,4910000,5354834
573,Josh Giddey,Forward,19.0,54.0,54.0,31.5,-1.2,0.3,97.0,112.0,5988000,6530498
574,Shai Gilgeous-Alexander,Guard,23.0,56.0,56.0,34.7,2.9,0.5,111.0,113.0,5495532,5993413
575,Anthony Gill,Forward,29.0,44.0,0.0,10.5,-0.6,-1.3,132.0,117.0,1517981,1655506
576,Rudy Gobert,Center,29.0,66.0,66.0,32.1,2.9,1.7,137.0,103.0,35344828,38546983
577,Brandon Goodwin,Guard,26.0,36.0,5.0,13.9,-2.6,1.1,104.0,110.0,343988,375152
578,Aaron Gordon,Forward,26.0,75.0,75.0,31.7,0.5,-1.1,115.0,114.0,16409091,17895714
579,Eric Gordon,Guard,33.0,57.0,46.0,29.3,-0.1,-2.2,111.0,121.0,18218818,19869398
580,Devonte Graham,Guard,26.0,76.0,63.0,28.4,0.2,-1.2,109.0,116.0,11000000,11996573
581,Jerami Grant,Forward,27.0,47.0,47.0,31.9,1.4,-0.2,109.0,114.0,20002500,21814678
582,Danny Green,Forward,34.0,62.0,28.0,21.8,-1.4,0.8,106.0,111.0,10000000,10905975
583,Draymond Green,Forward,31.0,46.0,44.0,28.9,-1.4,4.6,109.0,103.0,24026712,26203473
584,Jalen Green,Guard,19.0,67.0,67.0,31.9,-0.5,-2.4,105.0,120.0,8992080,9806740
585,JaMychal Green,Forward,31.0,67.0,8.0,16.2,-2.0,0.1,114.0,109.0,8200000,8942900
586,Javonte Green,Forward,28.0,65.0,45.0,23.4,-0.6,0.7,131.0,112.0,1669178,1820401
587,Jeff Green,Forward,35.0,75.0,63.0,24.7,-1.2,-1.3,119.0,115.0,4500000,4907689
588,Josh Green,Guard,21.0,67.0,3.0,15.5,-2.4,1.4,114.0,109.0,2957520,3225464
589,Blake Griffin,Center,32.0,56.0,24.0,17.1,-0.6,0.1,115.0,113.0,32405817,35341704
590,Quentin Grimes,Guard,21.0,46.0,6.0,17.1,-1.2,0.9,111.0,111.0,2168640,2365113
591,Rui Hachimura,Forward,23.0,42.0,13.0,22.5,0.2,-1.7,111.0,116.0,4916160,5361552
592,Tyrese Haliburton,Guard,21.0,77.0,77.0,35.0,2.7,-0.1,119.0,115.0,4023600,4388128
593,RJ Hampton,Guard,20.0,64.0,14.0,21.9,-4.0,-0.1,94.0,114.0,2303040,2511689
594,Tim Hardaway Jr,Guard,29.0,42.0,20.0,29.6,-0.4,0.2,107.0,111.0,21306816,23237161
595,James Harden,Guard,32.0,65.0,65.0,37.2,3.7,0.3,115.0,111.0,44310840,48325294
596,Montrezl Harrell,Center,28.0,71.0,3.0,23.1,3.7,0.1,134.0,114.0,9720900,10601590
597,Gary Harris,Guard,27.0,61.0,30.0,28.4,-2.0,-0.4,110.0,116.0,20932143,22828544
598,Tobias Harris,Forward,29.0,73.0,73.0,34.8,0.6,-0.6,113.0,112.0,35995950,39257095
599,Josh Hart,Guard,26.0,54.0,53.0,33.2,0.5,0.5,117.0,113.0,12000000,13087170
600,Isaiah Hartenstein,Center,23.0,68.0,0.0,17.9,1.4,3.1,127.0,106.0,1729217,1885879
601,Sam Hauser,Forward,24.0,26.0,0.0,6.1,2.7,-0.3,133.0,110.0,619498,675623
602,Jaxson Hayes,Center,21.0,70.0,28.0,20.0,0.6,-0.3,132.0,113.0,5348280,5832821
603,Killian Hayes,Guard,20.0,66.0,40.0,25.0,-4.3,0.8,97.0,113.0,5572680,6077551
604,Gordon Hayward,Forward,31.0,49.0,48.0,31.9,0.1,-0.8,113.0,116.0,29925000,32636132
605,Willy Hernangomez,Center,27.0,50.0,8.0,16.8,1.8,-1.5,122.0,111.0,2327220,2538060
606,Tyler Herro,Guard,22.0,66.0,10.0,32.6,1.6,-0.9,107.0,111.0,4004280,4367058
607,Buddy Hield,Guard,29.0,81.0,32.0,30.9,0.5,-1.7,105.0,117.0,23073234,25163613
608,George Hill,Guard,35.0,54.0,17.0,23.2,-2.2,0.6,117.0,114.0,5275491,5753437
609,Aaron Holiday,Guard,25.0,63.0,15.0,16.2,-1.9,0.3,108.0,113.0,3980551,4341179
610,Jrue Holiday,Guard,31.0,67.0,64.0,32.9,2.9,0.3,117.0,112.0,31171333,33995380
611,Justin Holiday,Forward,32.0,74.0,65.0,27.8,-1.4,-0.8,107.0,118.0,6006420,6550587
612,Richaun Holmes,Center,28.0,45.0,37.0,23.9,-0.4,-0.1,127.0,114.0,10384500,11325310
613,Rodney Hood,Forward,29.0,52.0,0.0,13.6,-3.0,-0.3,108.0,115.0,2239544,2442441
614,Al Horford,Center,35.0,69.0,69.0,29.1,1.4,2.9,124.0,104.0,27000000,29446134
615,Talen Horton-Tucker,Guard,21.0,60.0,19.0,25.2,-3.2,-0.2,102.0,114.0,9500000,10360677
616,Danuel House,Forward,28.0,42.0,7.0,17.3,-1.3,0.2,108.0,113.0,4997424,5450176
617,Dwight Howard,Center,36.0,60.0,27.0,16.2,-0.2,0.0,128.0,109.0,2641691,2881021
618,Markus Howard,Guard,22.0,31.0,0.0,5.7,0.8,-2.0,108.0,113.0,462629,504542
619,Kevin Huerter,Forward,23.0,74.0,60.0,29.6,-0.5,-0.7,112.0,117.0,4253357,4638700
620,Elijah Hughes,Forward,23.0,36.0,4.0,12.1,-5.2,-1.7,87.0,116.0,1517981,1655506
621,De'Andre Hunter,Forward,24.0,53.0,52.0,29.8,-2.4,-1.5,106.0,117.0,7775400,8479832
622,Bones Hyland,Guard,21.0,69.0,4.0,19.0,0.3,-0.7,109.0,112.0,2096880,2286852
623,Serge Ibaka,Center,32.0,54.0,12.0,16.2,-1.3,-0.2,112.0,110.0,9720900,10601590
624,Andre Iguodala,Forward,38.0,31.0,0.0,19.5,-0.9,3.7,114.0,106.0,2641691,2881021
625,Joe Ingles,Forward,34.0,45.0,15.0,24.9,-0.7,0.5,117.0,114.0,13036364,14217427
626,Brandon Ingram,Forward,24.0,55.0,55.0,34.0,2.6,-0.6,111.0,115.0,29467800,32137511
627,Kyrie Irving,Guard,29.0,29.0,29.0,37.6,4.2,-1.2,117.0,114.0,35328700,38529394
628,Frank Jackson,Guard,23.0,53.0,7.0,22.0,-1.8,-1.7,106.0,118.0,3000000,3271792
629,Isaiah Jackson,Forward,20.0,36.0,15.0,15.0,-1.6,0.1,113.0,109.0,2451240,2673316
630,Jaren Jackson Jr,Forward,22.0,78.0,78.0,27.3,-0.9,0.8,109.0,106.0,9180560,10012296
631,Josh Jackson,Forward,24.0,51.0,3.0,16.3,-4.1,-0.4,95.0,114.0,5005350,5458822
632,Reggie Jackson,Guard,31.0,75.0,75.0,31.2,-1.4,-1.6,99.0,113.0,10384500,11325310
633,LeBron James,Forward,37.0,56.0,56.0,37.2,6.9,0.8,117.0,111.0,41180544,44911401
634,Ty Jerome,Guard,24.0,48.0,4.0,16.7,-2.2,-0.2,103.0,115.0,2412840,2631437
635,Isaiah Joe,Guard,22.0,55.0,1.0,11.1,-3.1,-1.5,103.0,115.0,1517981,1655506
636,Alize Johnson,Forward,25.0,23.0,0.0,7.3,-3.6,-1.8,103.0,113.0,1003740,1094675
637,Cameron Johnson,Forward,25.0,66.0,16.0,26.2,2.0,0.7,123.0,109.0,4437000,4838981
638,Jalen Johnson,Forward,20.0,22.0,0.0,5.5,-3.9,-1.1,98.0,114.0,2659680,2900640
639,James Johnson,Forward,34.0,62.0,10.0,19.2,-2.7,0.6,109.0,113.0,2641691,2881021
640,Keldon Johnson,Forward,22.0,75.0,74.0,31.9,0.7,-1.2,114.0,114.0,2145720,2340117
641,Keon Johnson,Guard,19.0,37.0,12.0,18.8,-4.0,-2.0,94.0,116.0,2553240,2784557
642,Stanley Johnson,Forward,25.0,48.0,27.0,22.8,-2.8,0.1,114.0,114.0,1368998,1493025
643,Nikola Jokic,Center,26.0,74.0,74.0,33.5,9.2,4.5,126.0,105.0,31044906,33857499
644,Damian Jones,Center,26.0,56.0,15.0,18.2,-0.2,0.5,128.0,113.0,1977011,2156123
645,Derrick Jones,Forward,24.0,51.0,8.0,17.6,-1.5,0.5,124.0,113.0,9720900,10601590
646,Kai Jones,Center,21.0,21.0,0.0,3.0,-5.2,-1.4,98.0,116.0,2770560,3021566
647,Tre Jones,Guard,22.0,69.0,11.0,16.6,-0.9,0.4,120.0,114.0,1517981,1655506
648,Tyus Jones,Guard,25.0,73.0,23.0,21.2,1.2,0.5,125.0,112.0,8376286,9135157
649,DeAndre Jordan,Center,33.0,48.0,20.0,13.0,-1.5,0.1,120.0,107.0,11109327,12115804
650,Cory Joseph,Guard,30.0,65.0,39.0,24.6,-2.0,-0.1,115.0,116.0,7310000,7972268
651,Luke Kennard,Guard,25.0,70.0,13.0,27.4,0.8,-0.3,119.0,113.0,13347727,14556998
652,Corey Kispert,Forward,22.0,77.0,36.0,23.4,-0.8,-1.5,114.0,118.0,3383640,3690189
653,Maxi Kleber,Forward,30.0,59.0,21.0,24.6,-1.6,1.2,109.0,107.0,8750000,9542728
654,Nathan Knight,Forward,24.0,37.0,2.0,7.2,-0.7,0.1,122.0,111.0,462629,504542
655,Kevin Knox,Forward,22.0,30.0,0.0,7.4,-1.9,-2.2,106.0,115.0,5845978,6375609
656,John Konchar,Guard,25.0,72.0,7.0,17.9,0.2,1.3,133.0,109.0,2200000,2399314
657,Furkan Korkmaz,Guard,24.0,67.0,19.0,21.1,-2.0,-1.1,104.0,114.0,4629630,5049063
658,Vit Krejci,Guard,21.0,30.0,8.0,23.0,-4.3,-1.0,105.0,115.0,925258,1009084
659,Jonathan Kuminga,Forward,19.0,70.0,12.0,16.9,-1.3,-0.2,112.0,108.0,5466360,5961598
660,Kyle Kuzma,Forward,26.0,66.0,66.0,33.4,0.2,-0.4,103.0,113.0,13000000,14177768
661,Jeremy Lamb,Forward,29.0,56.0,0.0,16.7,-0.4,-0.5,109.0,116.0,10500000,11451274
662,Jock Landale,Center,26.0,54.0,1.0,10.9,0.7,-1.1,119.0,114.0,925258,1009084
663,Romeo Langford,Guard,22.0,48.0,5.0,16.1,-2.3,1.0,108.0,109.0,3804360,4149025
664,Zach LaVine,Guard,26.0,67.0,67.0,34.7,3.9,-1.5,115.0,116.0,19500000,21266652
665,Jake Layman,Forward,27.0,34.0,1.0,6.8,-3.3,-0.6,99.0,113.0,3940184,4297155
666,Damion Lee,Guard,29.0,63.0,5.0,19.9,-2.4,0.4,111.0,109.0,1910860,2083979
667,Saben Lee,Guard,22.0,37.0,0.0,16.3,-1.9,1.5,107.0,112.0,1489065,1623970
668,Alex Len,Center,28.0,39.0,10.0,15.9,-3.2,0.3,109.0,114.0,3732000,4070110
669,Caris LeVert,Guard,27.0,58.0,49.0,30.7,0.0,-1.2,108.0,116.0,17500000,19085457
670,Kira Lewis,Guard,20.0,24.0,0.0,14.2,-2.8,-1.2,96.0,116.0,3822240,4168525
671,Damian Lillard,Guard,31.0,29.0,29.0,36.4,4.0,-2.7,112.0,120.0,39344900,42909452
672,Nassir Little,Forward,21.0,42.0,23.0,25.9,-0.9,-0.6,115.0,116.0,2316240,2526085
673,Kevon Looney,Center,25.0,82.0,80.0,21.1,-0.9,1.7,128.0,105.0,5178572,5647738
674,Robin Lopez,Center,33.0,36.0,9.0,17.0,-2.4,-1.4,110.0,116.0,5000000,5452987
675,Kevin Love,Center,33.0,74.0,4.0,22.5,4.4,0.1,117.0,108.0,31258256,34090178
676,Kyle Lowry,Guard,35.0,63.0,63.0,33.9,1.1,0.8,118.0,110.0,26984128,29428824
677,Timothe Luwawu,Forward,26.0,52.0,18.0,13.2,-2.3,-1.0,113.0,117.0,1939350,2115050
678,Trey Lyles,Forward,26.0,75.0,23.0,20.5,0.5,-0.8,116.0,114.0,2500000,2726493
679,Theo Maledon,Guard,20.0,51.0,7.0,17.8,-3.7,-0.7,99.0,114.0,2000000,2181195
680,Sandro Mamukelashvili,Forward,22.0,41.0,3.0,9.9,0.6,-1.0,126.0,114.0,462629,504542
681,Terance Mann,Forward,25.0,81.0,33.0,28.6,-0.8,0.2,117.0,112.0,1782621,1944122
682,Tre Mann,Guard,20.0,60.0,26.0,22.8,-3.3,-1.1,97.0,114.0,2901240,3164085
683,Boban Marjanovic,Center,33.0,23.0,0.0,5.6,-3.2,-1.2,101.0,109.0,3500000,3817091
684,Lauri Markkanen,Forward,24.0,61.0,61.0,30.8,0.4,-0.1,117.0,110.0,15690909,17112467
685,Naji Marshall,Forward,24.0,55.0,4.0,13.4,-2.7,-0.5,103.0,112.0,1517981,1655506
686,Caleb Martin,Forward,26.0,60.0,12.0,22.9,0.1,0.9,119.0,108.0,844011,920476
687,Cody Martin,Forward,26.0,71.0,11.0,26.3,-1.2,0.7,120.0,114.0,1782621,1944122
688,Kelan Martin,Forward,26.0,30.0,1.0,15.0,-2.6,-1.0,100.0,118.0,993760,1083792
689,KJ Martin,Forward,21.0,79.0,2.0,21.0,0.0,-1.2,118.0,118.0,1517981,1655506
690,Garrison Mathews,Guard,25.0,65.0,33.0,26.3,-1.3,-1.0,120.0,118.0,2000000,2181195
691,Wesley Matthews,Guard,35.0,49.0,14.0,20.4,-3.0,-0.3,113.0,116.0,1958495,2135929
692,Tyrese Maxey,Guard,21.0,75.0,74.0,35.3,1.3,-0.7,121.0,115.0,2602920,2838738
693,Skylar Mays,Guard,24.0,28.0,5.0,7.9,-1.2,-0.8,113.0,117.0,510907,557193
694,Miles McBride,Guard,21.0,40.0,2.0,9.3,-5.5,1.0,98.0,112.0,925258,1009084
695,CJ McCollum,Guard,30.0,62.0,62.0,34.6,3.2,-1.3,111.0,117.0,30864198,33660419
696,TJ McConnell,Guard,29.0,27.0,8.0,24.1,-0.4,1.4,117.0,116.0,7500000,8179481
697,Jaden McDaniels,Forward,21.0,70.0,31.0,25.8,-2.9,-0.1,108.0,113.0,2063280,2250208
698,Jalen McDaniels,Forward,24.0,55.0,2.0,16.3,-1.9,-0.4,116.0,114.0,1782621,1944122
699,Doug McDermott,Forward,30.0,51.0,51.0,24.0,-0.4,-2.1,112.0,118.0,13750000,14995716
700,JaVale McGee,Center,34.0,74.0,17.0,15.8,-0.1,0.9,118.0,102.0,5000000,5452987
701,Rodney McGruder,Guard,30.0,51.0,2.0,14.8,-0.7,-0.7,115.0,116.0,1939350,2115050
702,Jordan McLaughlin,Guard,25.0,62.0,3.0,14.5,-1.2,1.6,122.0,112.0,2000000,2181195
703,Ben McLemore,Guard,28.0,64.0,6.0,20.1,-0.7,-2.5,108.0,120.0,2389641,2606136
704,De'Anthony Melton,Guard,23.0,73.0,15.0,22.7,0.3,1.6,108.0,107.0,8805976,9603776
705,Chimezie Metu,Center,24.0,60.0,20.0,21.3,-1.6,0.1,104.0,111.0,1762796,1922501
706,Khris Middleton,Forward,30.0,66.0,66.0,32.4,1.9,-0.3,112.0,112.0,35500000,38716214
707,Paul Millsap,Center,36.0,33.0,1.0,11.4,-3.7,0.2,103.0,110.0,2641691,2881021
708,Shake Milton,Guard,25.0,55.0,6.0,21.4,-1.6,-0.6,109.0,114.0,1846738,2014047
709,Davion Mitchell,Guard,23.0,75.0,19.0,27.7,-2.1,-1.7,101.0,118.0,4603200,5020238
710,Donovan Mitchell,Guard,25.0,67.0,67.0,33.8,4.6,-0.3,114.0,111.0,28103500,30649609
711,Evan Mobley,Forward,20.0,69.0,69.0,33.8,-0.9,1.5,109.0,107.0,8075160,8806749
712,Malik Monk,Guard,23.0,76.0,37.0,28.1,0.5,-1.0,112.0,115.0,1789256,1951358
713,Moses Moody,Guard,19.0,52.0,11.0,11.7,-1.4,-1.1,115.0,111.0,3562200,3884926
714,Ja Morant,Guard,22.0,57.0,57.0,33.1,6.2,-0.1,116.0,111.0,9603360,10473401
715,Marcus Morris,Forward,32.0,54.0,54.0,29.0,-0.3,-1.0,108.0,112.0,15627907,17043757
716,Monte Morris,Guard,26.0,75.0,74.0,29.9,0.8,-0.8,120.0,115.0,8449074,9214539
717,Trey Murphy,Forward,21.0,62.0,1.0,13.9,0.2,-1.4,120.0,115.0,3053760,3330423
718,Dejounte Murray,Guard,25.0,68.0,68.0,34.8,3.7,1.7,113.0,108.0,15428880,16826699
719,Mike Muscala,Center,30.0,43.0,0.0,13.8,3.8,1.2,124.0,110.0,3500000,3817091
720,Aaron Nesmith,Forward,22.0,52.0,3.0,11.0,-4.9,0.7,95.0,108.0,3631200,3960177
721,Raul Neto,Guard,29.0,70.0,19.0,19.6,-2.5,-0.5,108.0,116.0,2089448,2278746
722,Georges Niang,Forward,28.0,76.0,7.0,22.8,-0.8,-1.1,113.0,115.0,3300000,3598972
723,Daishen Nix,Guard,19.0,24.0,0.0,10.9,-5.4,-1.0,92.0,116.0,923078,1006706
724,Zeke Nnaji,Forward,21.0,41.0,1.0,17.0,-0.7,-1.6,123.0,113.0,2498760,2725141
725,Nerlens Noel,Center,27.0,25.0,11.0,22.5,-3.1,3.3,119.0,105.0,8800000,9597258
726,Jaylen Nowell,Guard,22.0,62.0,1.0,15.7,1.5,-0.7,121.0,115.0,1782621,1944122
727,Frank Ntilikina,Guard,23.0,58.0,5.0,11.8,-2.8,0.9,104.0,110.0,1789256,1951358
728,Jusuf Nurkic,Center,27.0,56.0,56.0,28.2,0.1,0.2,112.0,112.0,12000000,13087170
729,David Nwaba,Forward,29.0,46.0,4.0,13.2,-0.6,0.0,117.0,113.0,4650000,5071278
730,Jordan Nwora,Forward,23.0,62.0,13.0,19.1,-2.7,-1.5,100.0,113.0,1517981,1655506
731,Royce O'Neale,Forward,28.0,77.0,77.0,31.2,-0.8,1.7,122.0,111.0,8800000,9597258
732,Semi Ojeleye,Forward,27.0,30.0,0.0,13.5,-4.1,-1.6,101.0,114.0,1789256,1951358
733,Chuma Okeke,Forward,23.0,70.0,20.0,25.0,-1.6,1.5,101.0,109.0,3277080,3573975
734,Josh Okogie,Guard,23.0,49.0,6.0,10.5,-3.7,0.9,107.0,112.0,4087904,4458258
735,Onyeka Okongwu,Center,21.0,48.0,6.0,20.7,0.0,0.8,138.0,111.0,6104280,6657312
736,Isaac Okoro,Forward,21.0,67.0,61.0,29.6,-2.4,0.7,120.0,113.0,6720720,7329600
737,KZ Okpala,Forward,22.0,21.0,0.0,11.6,-3.2,0.4,113.0,110.0,1782621,1944122
738,Kelly Olynyk,Center,30.0,40.0,1.0,19.1,0.5,1.0,112.0,112.0,12195122,13299970
739,Cedi Osman,Forward,26.0,66.0,3.0,22.2,-0.3,0.5,111.0,112.0,8133334,8870194
740,Kelly Oubre,Forward,26.0,76.0,13.0,26.3,0.2,-1.6,111.0,115.0,12000000,13087170
741,Kevin Pangos,Guard,29.0,24.0,3.0,6.9,-4.7,-1.4,99.0,115.0,1569178,1711341
742,Eric Paschall,Forward,25.0,58.0,3.0,12.7,0.5,-1.0,123.0,115.0,1782621,1944122
743,Chris Paul,Guard,36.0,65.0,65.0,32.9,3.1,2.3,124.0,107.0,30800000,33590405
744,Cameron Payne,Guard,27.0,58.0,12.0,22.0,-0.4,0.4,104.0,109.0,6500000,7088884
745,Elfrid Payton,Guard,27.0,50.0,1.0,11.0,-4.6,1.2,87.0,108.0,2239544,2442441
746,Gary Payton II,Guard,29.0,71.0,16.0,17.6,0.3,3.4,129.0,103.0,1669178,1820401
747,Mason Plumlee,Center,31.0,73.0,73.0,24.6,-1.5,1.5,122.0,111.0,9248333,10086209
748,Jakob Poeltl,Center,26.0,68.0,67.0,29.0,0.9,0.7,123.0,110.0,8750000,9542728
749,Aleksej Pokusevski,Forward,20.0,61.0,12.0,20.2,-2.7,0.1,96.0,111.0,3113160,3395204
