,Player,Pos,Age,G,GS,MP,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted
466,Patrick Beverley,Guard,33.0,58.0,54.0,25.4,50.1,22.666666666666664,8.7,12.9,14320987,15618433
467,Saddiq Bey,Forward,22.0,82.0,82.0,33.0,48.9,18.705035971223023,8.8,7.1,2824320,3080196
468,Khem Birch,Center,29.0,55.0,28.0,18.0,48.5,27.77777777777778,13.1,11.1,6350000,6925294
469,Goga Bitadze,Center,22.0,50.0,16.0,14.6,56.49999999999999,26.0,13.5,13.6,3098400,3379107
470,Bismack Biyombo,Center,29.0,36.0,3.0,14.1,59.3,27.500000000000004,17.7,12.4,1518213,1655759
471,Nemanja Bjelica,Center,33.0,71.0,0.0,16.1,54.7,16.666666666666668,14.1,18.7,2089448,2278746
472,Eric Bledsoe,Guard,32.0,54.0,29.0,25.2,47.5,18.390804597701152,7.1,18.3,18125000,19767081
473,Keljin Blevins,Forward,26.0,31.0,1.0,11.3,40.1,5.555555555555556,7.1,12.8,462629,504542
474,Bogdan Bogdanovic,Guard,29.0,63.0,27.0,29.3,53.7,11.904761904761905,7.4,7.7,18000000,19630756
475,Bojan Bogdanovic,Forward,32.0,69.0,69.0,30.9,55.2,23.88059701492537,7.6,10.2,18700000,20394174
476,Leandro Bolmaro,Forward,21.0,35.0,2.0,6.9,36.1,20.0,9.6,17.9,2353320,2566525
477,Devin Booker,Guard,25.0,68.0,68.0,34.5,53.0,22.00956937799043,7.8,9.3,31650600,34518067
478,BJ Boston,Guard,20.0,51.0,0.0,14.9,43.7,18.749999999999996,7.7,8.0,925258,1009084
479,Chris Boucher,Forward,29.0,80.0,9.0,21.1,52.300000000000004,26.38888888888889,15.8,6.0,7020000,7655995
480,James Bouknight,Guard,21.0,31.0,0.0,9.8,40.8,20.0,9.1,8.8,4154400,4530778
481,Avery Bradley,Guard,31.0,62.0,45.0,22.7,54.0,5.357142857142858,5.2,9.6,2641691,2881021
482,Tony Bradley,Center,24.0,55.0,7.0,10.0,58.5,13.636363636363635,19.1,20.0,1789256,1951358
483,Ignas Brazdeikis,Forward,23.0,42.0,1.0,12.8,50.3,11.11111111111111,7.1,7.8,462629,504542
484,Mikal Bridges,Forward,25.0,82.0,82.0,34.8,60.099999999999994,15.238095238095239,6.5,6.8,5557725,6061241
485,Miles Bridges,Forward,23.0,80.0,80.0,35.5,55.400000000000006,21.710526315789476,10.4,9.9,5421493,5912667
486,Oshae Brissett,Forward,23.0,67.0,25.0,23.3,49.3,22.36842105263158,12.8,8.5,1701593,1855753
487,Malcolm Brogdon,Guard,29.0,36.0,36.0,33.5,50.1,26.490066225165563,8.6,11.1,21700000,23665967
488,Armoni Brooks,Guard,23.0,54.0,11.0,15.6,46.7,5.555555555555555,6.7,8.3,1739065,1896619
489,Dillon Brooks,Forward,26.0,32.0,31.0,27.7,47.5,17.073170731707318,6.0,8.0,12200000,13305290
490,Bruce Brown,Forward,25.0,72.0,45.0,24.6,54.300000000000004,18.571428571428573,10.6,9.1,4736102,5165181
491,Charlie Brown,Guard,24.0,22.0,2.0,8.0,26.900000000000002,22.222222222222225,10.1,10.3,431151,470212
492,Greg Brown,Forward,20.0,48.0,6.0,13.3,47.599999999999994,22.5,11.6,14.1,925258,1009084
493,Jaylen Brown,Forward,25.0,66.0,66.0,33.6,54.1,20.108695652173918,9.8,11.6,26758928,29183222
494,Moses Brown,Center,22.0,40.0,6.0,8.6,59.3,40.74074074074075,21.7,12.5,1933909,2109116
495,Sterling Brown,Guard,26.0,49.0,3.0,12.8,47.099999999999994,9.374999999999998,13.2,12.5,3000000,3271792
496,Troy Brown,Forward,22.0,66.0,7.0,16.0,51.0,7.6923076923076925,10.8,8.8,5170564,5639004
497,Jalen Brunson,Guard,25.0,79.0,61.0,31.9,54.900000000000006,17.968749999999996,6.8,10.1,1802057,1965319
498,Thomas Bryant,Center,24.0,27.0,9.0,16.3,56.10000000000001,23.636363636363637,13.6,10.3,8666667,9451846
499,Reggie Bullock,Forward,30.0,68.0,37.0,28.0,54.2,8.108108108108107,7.0,7.1,9536000,10399938
500,Trey Burke,Guard,29.0,42.0,0.0,10.5,45.1,9.803921568627452,4.2,10.4,3150000,3435382
501,Alec Burks,Guard,30.0,81.0,44.0,28.6,49.9,30.000000000000004,9.2,9.7,9536000,10399938
502,Jared Butler,Guard,21.0,42.0,1.0,8.6,49.7,8.333333333333332,6.8,17.3,925258,1009084
503,Jimmy Butler,Forward,32.0,57.0,57.0,33.9,49.6,47.58620689655172,9.9,10.5,36016200,39279180
504,Kentavious Caldwell-Pope,Guard,28.0,77.0,77.0,30.2,53.1,16.666666666666664,6.2,9.8,13038862,14220151
505,Facundo Campazzo,Guard,30.0,65.0,4.0,18.2,45.9,19.565217391304348,5.5,16.9,3100000,3380852
506,Clint Capela,Center,27.0,74.0,73.0,27.6,61.3,13.414634146341466,23.5,6.1,17603448,19198277
507,Jevon Carter,Guard,26.0,66.0,3.0,13.7,51.800000000000004,5.2631578947368425,6.6,11.5,4107149,4479246
508,Wendell Carter,Forward,22.0,62.0,61.0,29.9,57.599999999999994,20.909090909090907,18.5,13.1,6920027,7546964
509,Alex Caruso,Guard,27.0,41.0,18.0,28.0,48.0,22.58064516129032,7.3,16.5,8600000,9379139
510,Willie Cauley-Stein,Center,28.0,20.0,2.0,9.2,47.099999999999994,5.555555555555556,12.2,16.3,4220083,4602412
511,Justin Champagnie,Forward,20.0,36.0,0.0,7.8,53.7,15.789473684210526,13.9,10.1,462629,504542
512,Chris Chiozza,Guard,26.0,34.0,1.0,10.9,40.1,4.166666666666667,5.3,28.0,462629,504542
513,Marquese Chriss,Forward,24.0,34.0,0.0,10.2,49.3,15.384615384615385,16.5,10.3,1292900,1410033
514,Josh Christopher,Guard,20.0,74.0,2.0,18.0,50.4,16.176470588235293,7.7,17.2,2259240,2463921
515,Gary Clark,Forward,27.0,38.0,1.0,9.9,53.400000000000006,8.695652173913045,13.2,9.8,811213,884706
516,Brandon Clarke,Forward,25.0,64.0,1.0,19.5,65.0,18.571428571428573,14.4,6.3,2726880,2973928
517,Jordan Clarkson,Guard,29.0,79.0,1.0,27.1,50.4,12.765957446808512,7.0,9.8,12420000,13545221
518,Nicolas Claxton,Center,22.0,47.0,19.0,20.7,67.4,19.642857142857146,14.8,11.1,1782621,1944122
519,Amir Coffey,Guard,24.0,69.0,30.0,22.7,55.60000000000001,22.058823529411764,6.7,8.0,573576,625540
520,John Collins,Forward,24.0,54.0,53.0,30.8,57.599999999999994,21.008403361344538,13.9,7.7,23000000,25083744
521,Zach Collins,Center,24.0,28.0,4.0,17.9,53.5,34.54545454545455,16.0,19.7,7000000,7634183
522,Mike Conley,Guard,34.0,72.0,72.0,28.6,54.2,16.363636363636363,5.8,12.5,21000000,22902549
523,Pat Connaughton,Forward,29.0,65.0,19.0,26.0,60.5,9.210526315789473,8.6,6.3,5333334,5816521
524,Tyler Cook,Forward,24.0,20.0,2.0,10.0,60.5,57.89473684210527,14.9,11.8,462629,504542
525,DeMarcus Cousins,Center,31.0,48.0,7.0,15.0,51.7,29.411764705882355,20.6,18.3,2038942,2223664
526,Robert Covington,Forward,31.0,71.0,42.0,27.3,54.800000000000004,11.428571428571429,11.0,12.4,12975471,14151017
527,Torrey Craig,Forward,31.0,78.0,16.0,20.5,54.1,8.771929824561402,10.7,12.6,4878049,5319988
528,Jae Crowder,Forward,31.0,67.0,67.0,28.1,51.6,13.580246913580249,10.1,8.6,9720900,10601590
529,Jarrett Culver,Guard,22.0,37.0,0.0,9.1,42.199999999999996,11.111111111111112,7.4,11.8,6395160,6974546
530,Cade Cunningham,Guard,20.0,64.0,64.0,32.6,47.099999999999994,13.664596273291925,9.2,17.5,10050120,10960636
531,Seth Curry,Guard,31.0,64.0,64.0,33.4,59.4,11.304347826086957,5.2,12.3,8207518,8951099
532,Stephen Curry,Guard,33.0,64.0,64.0,34.5,55.400000000000006,22.5130890052356,8.3,13.2,45780966,49928610
533,Anthony Davis,Center,28.0,40.0,40.0,35.1,54.2,25.287356321839084,15.1,9.3,35361360,38565013
534,Ed Davis,Center,32.0,31.0,3.0,6.5,68.8,40.0,17.6,18.4,2641691,2881021
535,Terence Davis,Guard,24.0,30.0,11.0,17.9,51.5,13.48314606741573,9.5,10.3,4000000,4362390
536,Dewayne Dedmon,Center,32.0,67.0,15.0,15.9,59.8,25.581395348837212,20.6,17.3,5256308,5732516
537,DeMar DeRozan,Forward,32.0,76.0,76.0,36.1,52.1,33.663366336633665,8.0,9.2,26000000,28355537
538,Hamidou Diallo,Guard,23.0,58.0,29.0,21.9,51.800000000000004,17.582417582417584,11.8,9.0,5200000,5671107
539,Gorgui Dieng,Center,32.0,44.0,3.0,8.4,60.3,16.0,17.8,13.9,4000000,4362390
540,Spencer Dinwiddie,Guard,28.0,67.0,51.0,29.6,49.3,26.36363636363636,7.8,10.9,19314284,21064111
541,Donte DiVincenzo,Guard,25.0,42.0,1.0,24.0,46.1,21.25,9.1,16.2,4675830,5099448
542,Luka Doncic,Guard,22.0,65.0,65.0,35.4,52.900000000000006,25.925925925925924,14.3,15.3,10174391,11096166
543,Luguentz Dort,Guard,22.0,51.0,51.0,32.6,49.3,22.535211267605636,6.5,9.8,1782621,1944122
544,Ayo Dosunmu,Guard,22.0,77.0,40.0,27.4,58.5,10.144927536231883,5.7,15.9,925258,1009084
545,Goran Dragic,Guard,35.0,21.0,8.0,23.7,43.0,18.055555555555554,7.1,17.0,19348907,21101870
546,Andre Drummond,Center,28.0,73.0,36.0,19.7,56.99999999999999,20.338983050847457,26.2,18.5,2401537,2619110
547,Chris Duarte,Guard,24.0,55.0,39.0,28.0,50.7,14.15929203539823,8.2,11.8,3749400,4089086
548,David Duke,Guard,22.0,22.0,7.0,15.5,40.300000000000004,16.3265306122449,10.7,7.1,462629,504542
549,Kevin Durant,Forward,33.0,55.0,55.0,37.2,56.99999999999999,33.497536945812804,10.8,12.9,42018900,45825710
550,Anthony Edwards,Guard,20.0,72.0,72.0,34.3,52.7,17.91907514450867,7.5,12.2,10245480,11173695
551,Kessler Edwards,Forward,21.0,48.0,23.0,20.6,50.2,5.357142857142858,9.5,13.2,463211,505176
552,CJ Elleby,Forward,21.0,58.0,28.0,20.2,45.300000000000004,18.867924528301888,10.6,14.0,1517981,1655506
553,Wayne Ellington,Guard,34.0,43.0,9.0,18.8,58.599999999999994,3.6363636363636367,5.1,7.3,2641691,2881021
554,Joel Embiid,Center,27.0,68.0,68.0,33.8,53.400000000000006,48.979591836734684,19.4,11.3,31579390,34440406
555,Drew Eubanks,Center,24.0,71.0,31.0,17.5,60.199999999999996,26.923076923076923,16.5,15.9,2239820,2442742
556,Derrick Favors,Center,30.0,39.0,18.0,16.7,52.2,8.51063829787234,14.5,4.5,9720900,10601590
557,Bruno Fernando,Center,23.0,30.0,0.0,5.1,66.4,27.77777777777778,19.8,17.6,1782621,1944122
558,Dorian Finney-Smith,Forward,28.0,80.0,80.0,33.1,59.5,8.045977011494253,7.9,9.9,4000000,4362390
559,Malachi Flynn,Guard,23.0,44.0,5.0,12.2,47.5,7.142857142857142,6.4,6.3,2048040,2233587
560,Bryn Forbes,Guard,28.0,75.0,2.0,17.1,54.2,15.277777777777779,3.9,8.8,4500000,4907689
561,Trent Forrest,Guard,23.0,60.0,6.0,12.8,50.6,23.076923076923077,7.1,21.4,463211,505176
562,Evan Fournier,Guard,29.0,80.0,80.0,29.5,54.1,8.264462809917356,4.8,9.4,17142857,18695958
563,De'Aaron Fox,Guard,24.0,59.0,59.0,35.3,50.6,23.783783783783786,6.0,11.9,28103500,30649609
564,Wenyen Gabriel,Forward,24.0,26.0,5.0,13.8,52.7,23.809523809523807,14.5,11.1,522015,569306
565,Daniel Gafford,Center,23.0,72.0,53.0,20.1,69.3,26.31578947368421,15.6,12.0,1782621,1944122
566,Danilo Gallinari,Forward,33.0,66.0,18.0,25.3,52.800000000000004,23.333333333333332,10.1,5.4,20475000,22329985
567,Darius Garland,Guard,22.0,68.0,68.0,35.7,53.6,18.497109826589593,5.1,16.2,7040880,7678766
568,Usman Garuba,Forward,19.0,24.0,2.0,10.0,48.9,11.111111111111112,19.1,11.3,2353320,2566525
569,Luka Garza,Center,23.0,32.0,5.0,12.2,50.3,26.08695652173913,13.9,9.4,925258,1009084
570,Rudy Gay,Forward,35.0,55.0,1.0,18.9,50.7,15.942028985507248,12.8,10.2,5890000,6423619
571,Paul George,Forward,31.0,31.0,31.0,34.7,49.3,20.0,10.5,15.2,39344970,42909529
572,Taj Gibson,Center,36.0,52.0,4.0,18.2,56.3,25.0,13.0,12.5,4910000,5354834
573,Josh Giddey,Forward,19.0,54.0,54.0,31.5,46.1,8.064516129032258,12.7,19.5,5988000,6530498
574,Shai Gilgeous-Alexander,Guard,23.0,56.0,56.0,34.7,49.6,31.382978723404253,7.4,11.1,5495532,5993413
575,Anthony Gill,Forward,29.0,44.0,0.0,10.5,63.3,40.0,10.2,12.0,1517981,1655506
576,Rudy Gobert,Center,29.0,66.0,66.0,32.1,71.3,59.74025974025974,25.0,14.5,35344828,38546983
577,Brandon Goodwin,Guard,26.0,36.0,5.0,13.9,47.699999999999996,16.279069767441857,7.4,17.4,343988,375152
578,Aaron Gordon,Forward,26.0,75.0,75.0,31.7,57.3,20.72072072072072,10.3,12.5,16409091,17895714
579,Eric Gordon,Guard,33.0,57.0,46.0,29.3,58.5,18.181818181818183,3.7,14.6,18218818,19869398
580,Devonte Graham,Guard,26.0,76.0,63.0,28.4,48.1,14.953271028037385,4.5,10.7,11000000,11996573
581,Jerami Grant,Forward,27.0,47.0,47.0,31.9,49.1,30.872483221476504,6.9,9.5,20002500,21814678
582,Danny Green,Forward,34.0,62.0,28.0,21.8,55.50000000000001,3.8461538461538463,6.5,12.1,10000000,10905975
583,Draymond Green,Forward,31.0,46.0,44.0,28.9,55.60000000000001,23.21428571428572,13.8,31.9,24026712,26203473
584,Jalen Green,Guard,19.0,67.0,67.0,31.9,50.8,19.718309859154928,5.8,11.3,8992080,9806740
585,JaMychal Green,Forward,31.0,67.0,8.0,16.2,53.7,24.489795918367342,14.5,13.4,8200000,8942900
586,Javonte Green,Forward,28.0,65.0,45.0,23.4,59.699999999999996,24.0,10.2,7.6,1669178,1820401
587,Jeff Green,Forward,35.0,75.0,63.0,24.7,57.4,30.98591549295775,7.0,10.3,4500000,4907689
588,Josh Green,Guard,21.0,67.0,3.0,15.5,56.3,13.157894736842104,8.6,13.8,2957520,3225464
589,Blake Griffin,Center,32.0,56.0,24.0,17.1,48.6,17.857142857142858,13.0,8.2,32405817,35341704
590,Quentin Grimes,Guard,21.0,46.0,6.0,17.1,55.7,5.88235294117647,6.4,10.3,2168640,2365113
591,Rui Hachimura,Forward,23.0,42.0,13.0,22.5,56.3,12.08791208791209,9.4,7.4,4916160,5361552
592,Tyrese Haliburton,Guard,21.0,77.0,77.0,35.0,56.2,17.796610169491526,6.3,16.7,4023600,4388128
593,RJ Hampton,Guard,20.0,64.0,14.0,21.9,45.300000000000004,16.901408450704224,7.3,14.6,2303040,2511689
594,Tim Hardaway Jr,Guard,29.0,42.0,20.0,29.6,49.1,15.079365079365079,7.0,5.6,21306816,23237161
595,James Harden,Guard,32.0,65.0,65.0,37.2,48.5,47.05882352941176,11.3,18.8,44310840,48325294
596,Montrezl Harrell,Center,28.0,71.0,3.0,23.1,64.9,38.46153846153847,14.4,9.5,9720900,10601590
597,Gary Harris,Guard,27.0,61.0,30.0,28.4,53.900000000000006,15.384615384615385,3.7,9.3,20932143,22828544
598,Tobias Harris,Forward,29.0,73.0,73.0,34.8,53.2,16.428571428571427,10.9,9.5,35995950,39257095
599,Josh Hart,Guard,26.0,54.0,53.0,33.2,56.89999999999999,28.57142857142857,12.0,14.7,12000000,13087170
600,Isaiah Hartenstein,Center,23.0,68.0,0.0,17.9,64.5,24.074074074074073,14.5,16.5,1729217,1885879
601,Sam Hauser,Forward,24.0,26.0,0.0,6.1,65.0,0.0,9.9,3.8,619498,675623
602,Jaxson Hayes,Center,21.0,70.0,28.0,20.0,64.1,36.84210526315789,12.5,10.1,5348280,5832821
603,Killian Hayes,Guard,20.0,66.0,40.0,25.0,43.1,12.85714285714286,6.9,18.4,5572680,6077551
604,Gordon Hayward,Forward,31.0,49.0,48.0,31.9,52.800000000000004,20.634920634920636,7.6,10.6,29925000,32636132
605,Willy Hernangomez,Center,27.0,50.0,8.0,16.8,52.6,33.84615384615385,22.3,11.6,2327220,2538060
606,Tyler Herro,Guard,22.0,66.0,10.0,32.6,52.5,17.058823529411764,8.7,12.5,4004280,4367058
607,Buddy Hield,Guard,29.0,81.0,32.0,30.9,52.6,10.294117647058822,7.8,11.7,23073234,25163613
608,George Hill,Guard,35.0,54.0,17.0,23.2,50.4,21.568627450980397,6.6,11.9,5275491,5753437
609,Aaron Holiday,Guard,25.0,63.0,15.0,16.2,50.4,16.666666666666664,6.5,15.4,3980551,4341179
610,Jrue Holiday,Guard,31.0,67.0,64.0,32.9,56.99999999999999,14.084507042253522,7.2,15.0,31171333,33995380
611,Justin Holiday,Forward,32.0,74.0,65.0,27.8,52.800000000000004,7.865168539325842,5.1,9.2,6006420,6550587
612,Richaun Holmes,Center,28.0,45.0,37.0,23.9,66.3,23.88059701492537,16.1,14.2,10384500,11325310
613,Rodney Hood,Forward,29.0,52.0,0.0,13.6,46.5,10.0,5.8,6.2,2239544,2442441
614,Al Horford,Center,35.0,69.0,69.0,29.1,54.6,14.634146341463417,14.3,9.6,27000000,29446134
615,Talen Horton-Tucker,Guard,21.0,60.0,19.0,25.2,46.2,18.88888888888889,6.9,12.1,9500000,10360677
616,Danuel House,Forward,28.0,42.0,7.0,17.3,51.5,21.27659574468085,8.4,12.9,4997424,5450176
617,Dwight Howard,Center,36.0,60.0,27.0,16.2,63.0,43.24324324324324,19.7,14.2,2641691,2881021
618,Markus Howard,Guard,22.0,31.0,0.0,5.7,52.5,18.181818181818183,3.8,5.9,462629,504542
619,Kevin Huerter,Forward,23.0,74.0,60.0,29.6,55.900000000000006,5.825242718446601,6.4,10.4,4253357,4638700
620,Elijah Hughes,Forward,23.0,36.0,4.0,12.1,41.3,5.0,7.3,10.3,1517981,1655506
621,De'Andre Hunter,Forward,24.0,53.0,52.0,29.8,50.6,22.22222222222222,6.1,9.6,7775400,8479832
622,Bones Hyland,Guard,21.0,69.0,4.0,19.0,51.800000000000004,19.277108433734938,8.0,12.1,2096880,2286852
623,Serge Ibaka,Center,32.0,54.0,12.0,16.2,56.3,10.909090909090908,15.1,12.0,9720900,10601590
624,Andre Iguodala,Forward,38.0,31.0,0.0,19.5,45.0,12.820512820512823,9.1,17.7,2641691,2881021
625,Joe Ingles,Forward,34.0,45.0,15.0,24.9,54.0,6.349206349206351,6.4,13.5,13036364,14217427
626,Brandon Ingram,Forward,24.0,55.0,55.0,34.0,49.8,26.81564245810056,9.5,11.8,29467800,32137511
627,Kyrie Irving,Guard,29.0,29.0,29.0,37.6,55.00000000000001,19.339622641509433,6.3,9.8,35328700,38529394
628,Frank Jackson,Guard,23.0,53.0,7.0,22.0,49.1,17.582417582417584,4.0,6.7,3000000,3271792
629,Isaiah Jackson,Forward,20.0,36.0,15.0,15.0,57.49999999999999,29.82456140350877,15.4,14.0,2451240,2673316
630,Jaren Jackson Jr,Forward,22.0,78.0,78.0,27.3,47.699999999999996,27.06766917293233,11.2,9.9,9180560,10012296
631,Josh Jackson,Forward,24.0,51.0,3.0,16.3,45.5,18.64406779661017,9.2,12.3,5005350,5458822
632,Reggie Jackson,Guard,31.0,75.0,75.0,31.2,46.0,11.042944785276074,6.1,11.8,10384500,11325310
633,LeBron James,Forward,37.0,56.0,56.0,37.2,59.0,20.642201834862384,11.8,12.5,41180544,44911401
634,Ty Jerome,Guard,24.0,48.0,4.0,16.7,46.0,11.764705882352942,5.0,9.6,2412840,2631437
635,Isaiah Joe,Guard,22.0,55.0,1.0,11.1,47.699999999999996,15.625,5.1,9.1,1517981,1655506
636,Alize Johnson,Forward,25.0,23.0,0.0,7.3,43.6,17.647058823529413,20.4,21.3,1003740,1094675
637,Cameron Johnson,Forward,25.0,66.0,16.0,26.2,59.599999999999994,16.304347826086957,8.5,6.7,4437000,4838981
638,Jalen Johnson,Forward,20.0,22.0,0.0,5.5,57.3,10.526315789473685,11.9,17.0,2659680,2900640
639,James Johnson,Forward,34.0,62.0,10.0,19.2,50.7,10.0,9.8,12.7,2641691,2881021
640,Keldon Johnson,Forward,22.0,75.0,74.0,31.9,54.50000000000001,17.77777777777778,10.0,7.6,2145720,2340117
641,Keon Johnson,Guard,19.0,37.0,12.0,18.8,41.5,14.864864864864865,6.3,13.5,2553240,2784557
642,Stanley Johnson,Forward,25.0,48.0,27.0,22.8,53.2,21.153846153846153,7.6,11.0,1368998,1493025
643,Nikola Jokic,Center,26.0,74.0,74.0,33.5,62.0,28.8135593220339,23.0,15.6,31044906,33857499
644,Damian Jones,Center,26.0,56.0,15.0,18.2,67.7,35.41666666666667,13.2,15.4,1977011,2156123
645,Derrick Jones,Forward,24.0,51.0,8.0,17.6,59.0,28.947368421052634,10.6,11.7,9720900,10601590
646,Kai Jones,Center,21.0,21.0,0.0,3.0,67.9,14.285714285714288,9.2,25.5,2770560,3021566
647,Tre Jones,Guard,22.0,69.0,11.0,16.6,50.4,20.40816326530612,7.1,10.8,1517981,1655506
648,Tyus Jones,Guard,25.0,73.0,23.0,21.2,52.400000000000006,9.210526315789473,5.9,7.3,8376286,9135157
649,DeAndre Jordan,Center,33.0,48.0,20.0,13.0,64.3,16.666666666666664,23.1,18.7,11109327,12115804
650,Cory Joseph,Guard,30.0,65.0,39.0,24.6,52.6,24.193548387096772,5.9,15.9,7310000,7972268
651,Luke Kennard,Guard,25.0,70.0,13.0,27.4,59.8,10.989010989010989,6.3,8.2,13347727,14556998
652,Corey Kispert,Forward,22.0,77.0,36.0,23.4,56.39999999999999,10.44776119402985,6.4,8.5,3383640,3690189
653,Maxi Kleber,Forward,30.0,59.0,21.0,24.6,51.6,13.333333333333334,13.4,10.9,8750000,9542728
654,Nathan Knight,Forward,24.0,37.0,2.0,7.2,53.400000000000006,50.0,17.1,13.6,462629,504542
655,Kevin Knox,Forward,22.0,30.0,0.0,7.4,45.300000000000004,17.857142857142858,10.7,6.9,5845978,6375609
656,John Konchar,Guard,25.0,72.0,7.0,17.9,61.5,11.111111111111112,13.3,9.3,2200000,2399314
657,Furkan Korkmaz,Guard,24.0,67.0,19.0,21.1,46.9,14.285714285714285,6.9,8.6,4629630,5049063
658,Vit Krejci,Guard,21.0,30.0,8.0,23.0,50.3,10.714285714285715,7.5,14.1,925258,1009084
659,Jonathan Kuminga,Forward,19.0,70.0,12.0,16.9,56.699999999999996,28.78787878787879,10.8,12.0,5466360,5961598
660,Kyle Kuzma,Forward,26.0,66.0,66.0,33.4,52.0,16.901408450704224,14.1,14.1,13000000,14177768
661,Jeremy Lamb,Forward,29.0,56.0,0.0,16.7,46.300000000000004,25.806451612903224,9.1,8.6,10500000,11451274
662,Jock Landale,Center,26.0,54.0,1.0,10.9,56.599999999999994,15.789473684210526,12.3,12.3,925258,1009084
663,Romeo Langford,Guard,22.0,48.0,5.0,16.1,51.0,12.5,7.6,7.1,3804360,4149025
664,Zach LaVine,Guard,26.0,67.0,67.0,34.7,55.400000000000006,27.11864406779661,7.4,11.2,19500000,21266652
665,Jake Layman,Forward,27.0,34.0,1.0,6.8,46.6,19.047619047619047,8.4,11.0,3940184,4297155
666,Damion Lee,Guard,29.0,63.0,5.0,19.9,52.300000000000004,16.393442622950822,8.8,8.4,1910860,2083979
667,Saben Lee,Guard,22.0,37.0,0.0,16.3,42.9,31.25,7.8,14.7,1489065,1623970
668,Alex Len,Center,28.0,39.0,10.0,15.9,55.1,24.444444444444446,14.1,17.4,3732000,4070110
669,Caris LeVert,Guard,27.0,58.0,49.0,30.7,49.2,17.006802721088434,6.7,10.3,17500000,19085457
670,Kira Lewis,Guard,20.0,24.0,0.0,14.2,44.9,6.557377049180328,6.3,14.7,3822240,4168525
671,Damian Lillard,Guard,31.0,29.0,29.0,36.4,48.6,28.947368421052634,6.2,11.6,39344900,42909452
672,Nassir Little,Forward,21.0,42.0,23.0,25.9,54.1,21.333333333333336,11.9,10.1,2316240,2526085
673,Kevon Looney,Center,25.0,82.0,80.0,21.1,57.099999999999994,20.454545454545453,18.8,13.8,5178572,5647738
674,Robin Lopez,Center,33.0,36.0,9.0,17.0,55.800000000000004,16.363636363636363,10.9,16.5,5000000,5452987
675,Kevin Love,Center,33.0,74.0,4.0,22.5,55.300000000000004,21.359223300970875,17.8,10.4,31258256,34090178
676,Kyle Lowry,Guard,35.0,63.0,63.0,33.9,55.50000000000001,23.0,7.5,19.3,26984128,29428824
677,Timothe Luwawu,Forward,26.0,52.0,18.0,13.2,51.6,19.444444444444443,6.6,8.9,1939350,2115050
678,Trey Lyles,Forward,26.0,75.0,23.0,20.5,52.6,34.66666666666667,13.4,9.8,2500000,2726493
679,Theo Maledon,Guard,20.0,51.0,7.0,17.8,44.5,24.193548387096772,7.4,15.3,2000000,2181195
680,Sandro Mamukelashvili,Forward,22.0,41.0,3.0,9.9,59.099999999999994,14.285714285714288,10.7,10.7,462629,504542
681,Terance Mann,Forward,25.0,81.0,33.0,28.6,53.900000000000006,18.823529411764707,9.7,9.9,1782621,1944122
682,Tre Mann,Guard,20.0,60.0,26.0,22.8,47.599999999999994,11.224489795918368,6.4,10.2,2901240,3164085
683,Boban Marjanovic,Center,33.0,23.0,0.0,5.6,60.699999999999996,20.0,16.9,15.8,3500000,3817091
684,Lauri Markkanen,Forward,24.0,61.0,61.0,30.8,54.2,20.0,10.2,6.5,15690909,17112467
685,Naji Marshall,Forward,24.0,55.0,4.0,13.4,44.4,26.53061224489796,10.7,12.9,1517981,1655506
686,Caleb Martin,Forward,26.0,60.0,12.0,22.9,58.5,17.647058823529413,9.5,10.3,844011,920476
687,Cody Martin,Forward,26.0,71.0,11.0,26.3,55.400000000000006,18.333333333333336,8.1,11.5,1782621,1944122
688,Kelan Martin,Forward,26.0,30.0,1.0,15.0,47.4,5.263157894736842,6.8,7.3,993760,1083792
689,KJ Martin,Forward,21.0,79.0,2.0,21.0,59.099999999999994,15.151515151515152,9.9,9.4,1517981,1655506
690,Garrison Mathews,Guard,25.0,65.0,33.0,26.3,55.00000000000001,30.98591549295775,6.1,7.1,2000000,2181195
691,Wesley Matthews,Guard,35.0,49.0,14.0,20.4,51.6,8.88888888888889,4.9,7.2,1958495,2135929
692,Tyrese Maxey,Guard,21.0,75.0,74.0,35.3,55.2,21.052631578947366,5.1,7.4,2602920,2838738
693,Skylar Mays,Guard,24.0,28.0,5.0,7.9,56.3,13.043478260869565,6.2,12.8,510907,557193
694,Miles McBride,Guard,21.0,40.0,2.0,9.3,37.5,7.4074074074074066,6.1,4.2,925258,1009084
695,CJ McCollum,Guard,30.0,62.0,62.0,34.6,53.900000000000006,10.106382978723403,6.9,9.3,30864198,33660419
696,TJ McConnell,Guard,29.0,27.0,8.0,24.1,50.5,9.09090909090909,7.7,11.7,7500000,8179481
697,Jaden McDaniels,Forward,21.0,70.0,31.0,25.8,53.2,10.126582278481013,8.7,11.4,2063280,2250208
698,Jalen McDaniels,Forward,24.0,55.0,2.0,16.3,56.49999999999999,21.73913043478261,10.1,11.2,1782621,1944122
699,Doug McDermott,Forward,30.0,51.0,51.0,24.0,57.8,8.791208791208792,4.9,8.1,13750000,14995716
700,JaVale McGee,Center,34.0,74.0,17.0,15.8,63.1,22.58064516129032,22.7,15.8,5000000,5452987
701,Rodney McGruder,Guard,30.0,51.0,2.0,14.8,56.39999999999999,9.090909090909092,8.0,9.2,1939350,2115050
