,Player,Pos,Age,G,GS,MP,ORtg,DRtg,OBPM,DBPM,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,Rating Model Salary,Four Factors Salary,Average Predicted Salary
199,Frank Jackson,Guard,23.0,53.0,7.0,22.0,106.0,118.0,-1.8,-1.7,49.1,17.582417582417584,4.0,6.7,3000.0,3271.792,1599.9827902350423,2995.1506822359424,2297.5667362354925
200,Isaiah Jackson,Forward,20.0,36.0,15.0,15.0,113.0,109.0,-1.6,0.1,57.49999999999999,29.82456140350877,15.4,14.0,2451.24,2673.316,2569.9160134729173,3007.6046977031324,2788.760355588025
201,Jaren Jackson Jr,Forward,22.0,78.0,78.0,27.3,109.0,106.0,-0.9,0.8,47.7,27.06766917293233,11.2,9.9,9180.56,10012.296,7831.744485807815,11062.457442239958,9447.100964023886
202,Josh Jackson,Forward,24.0,51.0,3.0,16.3,95.0,114.0,-4.1,-0.4,45.5,18.64406779661017,9.2,12.3,5005.35,5458.822,1515.021219276861,3950.972251652949,2732.996735464905
203,Reggie Jackson,Guard,31.0,75.0,75.0,31.2,99.0,113.0,-1.4,-1.6,46.0,11.042944785276074,6.1,11.8,10384.5,11325.31,18174.39689952007,12428.884997052703,15301.640948286386
204,LeBron James,Forward,37.0,56.0,56.0,37.2,117.0,111.0,6.9,0.8,59.0,20.642201834862384,11.8,12.5,41180.544,44911.401,31555.42520075101,11465.729420651329,21510.57731070117
205,Ty Jerome,Guard,24.0,48.0,4.0,16.7,103.0,115.0,-2.2,-0.2,46.0,11.764705882352942,5.0,9.6,2412.84,2631.437,2343.362806728329,2827.1371512522574,2585.249978990293
206,Isaiah Joe,Guard,22.0,55.0,1.0,11.1,103.0,115.0,-3.1,-1.5,47.7,15.625,5.1,9.1,1517.981,1655.506,1129.2528244039354,2118.444160833177,1623.8484926185563
207,Alize Johnson,Forward,25.0,23.0,0.0,7.3,103.0,113.0,-3.6,-1.8,43.6,17.647058823529413,20.4,21.3,1003.74,1094.675,2019.2571518339469,4302.437375109066,3160.8472634715063
208,Cameron Johnson,Forward,25.0,66.0,16.0,26.2,123.0,109.0,2.0,0.7,59.6,16.304347826086957,8.5,6.7,4437.0,4838.981,5391.311511790544,4635.9339959985255,5013.622753894535
209,Jalen Johnson,Forward,20.0,22.0,0.0,5.5,98.0,114.0,-3.9,-1.1,57.3,10.526315789473683,11.9,17.0,2659.68,2900.64,1695.079585171374,2382.0380627284485,2038.5588239499111
210,James Johnson,Forward,34.0,62.0,10.0,19.2,109.0,113.0,-2.7,0.6,50.7,10.0,9.8,12.7,2641.691,2881.021,4375.559868502705,4446.036341760064,4410.798105131385
211,Keldon Johnson,Forward,22.0,75.0,74.0,31.9,114.0,114.0,0.7,-1.2,54.50000000000001,17.77777777777778,10.0,7.6,2145.72,2340.117,8370.360392368966,7539.254389967613,7954.8073911682895
212,Keon Johnson,Guard,19.0,37.0,12.0,18.8,94.0,116.0,-4.0,-2.0,41.5,14.864864864864863,6.3,13.5,2553.24,2784.557,1972.8892823785636,2465.9902665591253,2219.4397744688445
213,Stanley Johnson,Forward,25.0,48.0,27.0,22.8,114.0,114.0,-2.8,0.1,53.2,21.15384615384616,7.6,11.0,1368.998,1493.025,3344.4389828553312,3318.5241352273,3331.4815590413154
214,Nikola Jokic,Center,26.0,74.0,74.0,33.5,126.0,105.0,9.2,4.5,62.0,28.8135593220339,23.0,15.6,31044.906,33857.499,50387.570445330435,16769.97801676623,33578.77423104833
215,Damian Jones,Center,26.0,56.0,15.0,18.2,128.0,113.0,-0.2,0.5,67.7,35.41666666666667,13.2,15.4,1977.011,2156.123,2154.3304084940137,3424.9500507271314,2789.6402296105725
216,Derrick Jones,Forward,24.0,51.0,8.0,17.6,124.0,113.0,-1.5,0.5,59.0,28.94736842105264,10.6,11.7,9720.9,10601.59,800.7124018348778,5561.937005970302,3181.32470390259
217,Kai Jones,Center,21.0,21.0,0.0,3.0,98.0,116.0,-5.2,-1.4,67.9,14.285714285714288,9.2,25.5,2770.56,3021.566,822.1837979831981,2632.2371492031457,1727.2104735931719
218,Tre Jones,Guard,22.0,69.0,11.0,16.6,120.0,114.0,-0.9,0.4,50.4,20.40816326530612,7.1,10.8,1517.981,1655.506,964.7146349586048,2040.4256696327925,1502.5701522956988
219,Tyus Jones,Guard,25.0,73.0,23.0,21.2,125.0,112.0,1.2,0.5,52.400000000000006,9.210526315789473,5.9,7.3,8376.286,9135.157,5184.901938389027,6873.419924653163,6029.160931521095
220,DeAndre Jordan,Center,33.0,48.0,20.0,13.0,120.0,107.0,-1.5,0.1,64.3,16.666666666666664,23.1,18.7,11109.327,12115.804,5816.968519675267,8940.937842190908,7378.953180933087
221,Cory Joseph,Guard,30.0,65.0,39.0,24.6,115.0,116.0,-2.0,-0.1,52.6,24.19354838709677,5.9,15.9,7310.0,7972.268,6106.661748801968,9652.517805789897,7879.589777295932
222,Luke Kennard,Guard,25.0,70.0,13.0,27.4,119.0,113.0,0.8,-0.3,59.8,10.989010989010987,6.3,8.2,13347.727,14556.998,3614.295125463995,3117.3626913039548,3365.828908383975
223,Corey Kispert,Forward,22.0,77.0,36.0,23.4,114.0,118.0,-0.8,-1.5,56.39999999999999,10.44776119402985,6.4,8.5,3383.64,3690.189,2517.1395573451655,3860.211383044318,3188.675470194742
224,Maxi Kleber,Forward,30.0,59.0,21.0,24.6,109.0,107.0,-1.6,1.2,51.6,13.333333333333334,13.4,10.9,8750.0,9542.728,10577.100680545334,9398.632706163666,9987.8666933545
225,Nathan Knight,Forward,24.0,37.0,2.0,7.2,122.0,111.0,-0.7,0.1,53.400000000000006,50.0,17.1,13.6,462.629,504.542,1780.445994277175,886.8153157236753,1333.6306550004251
226,Kevin Knox,Forward,22.0,30.0,0.0,7.4,106.0,115.0,-1.9,-2.2,45.3,17.857142857142858,10.7,6.9,5845.978,6375.609,1852.3555870443204,3811.4030760001992,2831.8793315222597
227,John Konchar,Guard,25.0,72.0,7.0,17.9,133.0,109.0,0.2,1.3,61.5,11.111111111111112,13.3,9.3,2200.0,2399.314,1562.9450731475783,3101.4101416586286,2332.1776074031036
228,Furkan Korkmaz,Guard,24.0,67.0,19.0,21.1,104.0,114.0,-2.0,-1.1,46.9,14.285714285714285,6.9,8.6,4629.63,5049.063,1494.3132150397496,3873.402024634143,2683.8576198369465
229,Vit Krejci,Guard,21.0,30.0,8.0,23.0,105.0,115.0,-4.3,-1.0,50.3,10.714285714285715,7.5,14.1,925.258,1009.084,723.7638085587113,1736.3592363500993,1230.0615224544053
230,Jonathan Kuminga,Forward,19.0,70.0,12.0,16.9,112.0,108.0,-1.3,-0.2,56.7,28.78787878787879,10.8,12.0,5466.36,5961.598,2042.1866994743716,2763.339088831515,2402.7628941529433
231,Kyle Kuzma,Forward,26.0,66.0,66.0,33.4,103.0,113.0,0.2,-0.4,52.0,16.901408450704224,14.1,14.1,13000.0,14177.768,15216.762323628293,14772.813025978756,14994.787674803523
232,Jeremy Lamb,Forward,29.0,56.0,0.0,16.7,109.0,116.0,-0.4,-0.5,46.3,25.806451612903224,9.1,8.6,10500.0,11451.274,8624.371360201158,11020.931234622809,9822.651297411983
233,Jock Landale,Center,26.0,54.0,1.0,10.9,119.0,114.0,0.7,-1.1,56.6,15.789473684210526,12.3,12.3,925.258,1009.084,4229.971786062949,1949.7959999289728,3089.883892995961
234,Romeo Langford,Guard,22.0,48.0,5.0,16.1,108.0,109.0,-2.3,1.0,51.0,12.5,7.6,7.1,3804.36,4149.025,2026.206333008405,3055.392573747019,2540.799453377712
235,Zach LaVine,Guard,26.0,67.0,67.0,34.7,115.0,116.0,3.9,-1.5,55.400000000000006,27.11864406779661,7.4,11.2,19500.0,21266.652,20435.52559091318,20524.190526072172,20479.858058492675
236,Jake Layman,Forward,27.0,34.0,1.0,6.8,99.0,113.0,-3.3,-0.6,46.6,19.047619047619047,8.4,11.0,3940.184,4297.155,3045.306065371974,3829.655695111815,3437.4808802418947
237,Damion Lee,Guard,29.0,63.0,5.0,19.9,111.0,109.0,-2.4,0.4,52.3,16.393442622950822,8.8,8.4,1910.86,2083.979,4716.7972077616605,7010.4167004955625,5863.6069541286115
