,Unnamed: 0,Player,Pos,Age,G,GS,MP,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,age_bin,games_bin,games_started_bin,mins_bin
445,445,Deni Avdija,Forward,21.0,82.0,8.0,24.2,50.3,18.30985915492958,11.9,12.0,4692.84,5117.999,"(18, 21]","(65.0, 82.0]","(0, 20]","(20.0, 30.0]"
446,446,Deandre Ayton,Center,23.0,58.0,58.0,29.5,63.9,15.0,18.6,10.7,12632.95,13777.464,"(21, 24]","(50.0, 65.0]","(40, 60]","(20.0, 30.0]"
447,447,Marvin Bagley,Forward,22.0,48.0,25.0,23.9,53.0,15.053763440860212,16.0,7.4,11312.114,12336.964,"(21, 24]","(35.0, 50.0]","(20, 40]","(20.0, 30.0]"
448,448,LaMelo Ball,Guard,20.0,75.0,75.0,32.3,51.7,16.766467065868262,11.0,15.3,8231.76,8977.537,"(18, 21]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
449,449,Lonzo Ball,Guard,24.0,35.0,35.0,34.6,56.7,5.504587155963303,8.8,17.2,18604.651,20290.187,"(21, 24]","(19.999, 35.0]","(20, 40]","(30.0, 40.0]"
450,450,Mo Bamba,Center,23.0,71.0,69.0,25.7,56.6,9.195402298850576,16.5,10.6,7568.743,8254.452,"(21, 24]","(65.0, 82.0]","(60, 82]","(20.0, 30.0]"
451,451,Desmond Bane,Guard,23.0,76.0,76.0,29.8,56.49999999999999,12.413793103448276,7.7,8.7,2033.16,2217.359,"(21, 24]","(65.0, 82.0]","(60, 82]","(20.0, 30.0]"
452,452,Dalano Banton,Guard,22.0,64.0,1.0,10.9,44.3,12.5,9.7,19.3,925.258,1009.084,"(21, 24]","(50.0, 65.0]","(0, 20]","(10.0, 20.0]"
453,453,Harrison Barnes,Forward,29.0,77.0,77.0,33.6,55.400000000000006,40.74074074074075,9.1,10.4,20284.091,22121.78,"(27, 30]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
454,454,Scottie Barnes,Forward,20.0,74.0,74.0,35.4,52.400000000000006,16.666666666666668,11.5,11.7,7280.4,7939.986,"(18, 21]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
455,455,RJ Barrett,Forward,21.0,70.0,70.0,34.5,46.6,23.9766081871345,9.1,9.9,8623.92,9405.226,"(18, 21]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
456,456,Will Barton,Guard,31.0,71.0,71.0,32.1,52.5,11.11111111111111,8.3,11.8,15625.0,17040.587,"(30, 33]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
457,457,Charles Bassey,Center,21.0,23.0,0.0,7.3,63.8,20.0,20.6,13.3,925.258,1009.084,"(18, 21]","(19.999, 35.0]",,"(-0.001, 10.0]"
458,458,Keita Bates-Diop,Forward,26.0,59.0,14.0,16.2,54.900000000000006,17.77777777777778,12.7,13.4,1729.217,1885.879,"(24, 27]","(50.0, 65.0]","(0, 20]","(10.0, 20.0]"
459,459,Nicolas Batum,Forward,33.0,59.0,54.0,24.8,60.2,6.060606060606061,9.2,9.0,12026.998,13116.613,"(30, 33]","(50.0, 65.0]","(40, 60]","(20.0, 30.0]"
460,460,Kent Bazemore,Forward,32.0,39.0,14.0,14.0,42.8,8.333333333333332,6.8,12.5,2401.537,2619.11,"(30, 33]","(35.0, 50.0]","(0, 20]","(10.0, 20.0]"
461,461,Darius Bazley,Forward,21.0,69.0,53.0,27.9,48.4,18.08510638297872,11.6,11.1,2513.04,2740.715,"(18, 21]","(65.0, 82.0]","(40, 60]","(20.0, 30.0]"
462,462,Bradley Beal,Guard,28.0,40.0,40.0,36.0,49.2,21.76165803108808,7.3,13.6,33724.2,36779.53,"(27, 30]","(35.0, 50.0]","(20, 40]","(30.0, 40.0]"
463,463,Malik Beasley,Guard,25.0,79.0,18.0,25.0,53.2,5.555555555555555,6.2,4.7,14491.964,15804.9,"(24, 27]","(65.0, 82.0]","(0, 20]","(20.0, 30.0]"
464,464,DeAndre Bembry,Forward,27.0,56.0,20.0,18.3,59.5,10.256410256410255,8.6,11.6,2271.045,2476.795,"(24, 27]","(50.0, 65.0]","(0, 20]","(10.0, 20.0]"
465,465,Davis Bertans,Forward,29.0,56.0,0.0,14.4,50.0,12.244897959183673,8.0,6.1,16000.0,17449.561,"(27, 30]","(50.0, 65.0]",,"(10.0, 20.0]"
466,466,Patrick Beverley,Guard,33.0,58.0,54.0,25.4,50.1,22.666666666666664,8.7,12.9,14320.987,15618.433,"(30, 33]","(50.0, 65.0]","(40, 60]","(20.0, 30.0]"
467,467,Saddiq Bey,Forward,22.0,82.0,82.0,33.0,48.9,18.705035971223023,8.8,7.1,2824.32,3080.196,"(21, 24]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
468,468,Khem Birch,Center,29.0,55.0,28.0,18.0,48.5,27.77777777777778,13.1,11.1,6350.0,6925.294,"(27, 30]","(50.0, 65.0]","(20, 40]","(10.0, 20.0]"
469,469,Goga Bitadze,Center,22.0,50.0,16.0,14.6,56.49999999999999,26.0,13.5,13.6,3098.4,3379.107,"(21, 24]","(35.0, 50.0]","(0, 20]","(10.0, 20.0]"
470,470,Bismack Biyombo,Center,29.0,36.0,3.0,14.1,59.3,27.500000000000004,17.7,12.4,1518.213,1655.759,"(27, 30]","(35.0, 50.0]","(0, 20]","(10.0, 20.0]"
471,471,Nemanja Bjelica,Center,33.0,71.0,0.0,16.1,54.7,16.666666666666668,14.1,18.7,2089.448,2278.746,"(30, 33]","(65.0, 82.0]",,"(10.0, 20.0]"
